Dates,Raw Turbulence,Turbulence,Recession
date,number,number,number
2001-12-24,3.7412969128795326,5.3648387595260925,0
2001-12-31,4.080362068559738,5.292746622401262,0
2002-01-07,4.547505832554694,5.250919470853486,0
2002-01-14,3.515817175180565,5.153535661941271,0
2002-01-21,3.7689133213644435,5.075822781400115,0
2002-01-28,3.9200981490176456,5.010956942056952,0
2002-02-04,4.386087117166545,4.9758856936505085,0
2002-02-11,3.1350588942164364,4.872568024298313,0
2002-02-18,3.7219015937484663,4.8079860800096,0
2002-02-25,5.100215964815445,4.824387683149278,0
2002-03-04,6.613271164178805,4.924789998054425,0
2002-03-11,3.051975044770992,4.819676971581391,0
2002-03-18,2.625043723421262,4.696501672116796,0
2002-03-24,2.2479119801061835,4.55907289269218,0
2002-04-01,4.0124189276839095,4.528391563180814,0
2002-04-08,4.880226518339465,4.548138541861698,0
2002-04-15,3.9424531283532014,4.514144031729861,0
2002-04-22,4.472016025696949,4.511779568435914,0
2002-04-29,4.287392077810405,4.499185666298928,0
2002-05-06,4.305538672645117,4.488317095682984,0
2002-05-13,4.91295897467918,4.512150413005783,0
2002-05-20,3.657968731914699,4.464208879059838,0
2002-05-27,2.4616350516796293,4.351813046592473,0
2002-06-03,3.9298961580772254,4.328132671233353,0
2002-06-10,4.731513630530643,4.350772704825031,0
2002-06-17,3.7812272339275066,4.318806573811879,0
2002-06-24,6.337209051540689,4.432090800159382,0
2002-07-01,4.959601286768465,4.461697688787931,0
2002-07-08,7.762475499942528,4.6469561121239975,0
2002-07-15,6.896359034610783,4.773205397204375,0
2002-07-22,10.346268972131849,5.085997420815798,0
2002-07-29,6.302706253812782,5.154286040334009,0
2002-08-05,5.373059700175033,5.166564862359728,0
2002-08-12,6.398245648297824,5.235693793027256,0
2002-08-19,4.860861814134546,5.214656090583022,0
2002-08-26,4.451596540566393,5.171828848873541,0
2002-09-02,4.198131727177906,5.117179428678517,0
2002-09-09,3.860840423963074,5.046666538534065,0
2002-09-16,5.402500565011583,5.0666379678413564,0
2002-09-23,5.448688141124443,5.088080796406947,0
2002-09-30,4.696900015803942,5.066125506229892,0
2002-10-07,7.821524854259472,5.220774188474466,0
2002-10-14,6.59941215672622,5.298151192005709,0
2002-10-21,7.017856323079656,5.394670824472053,0
2002-10-28,5.211220597810501,5.384374554411974,0
2002-11-04,7.69734226436607,5.514191456878198,0
2002-11-11,3.2256996781136693,5.385748282872745,0
2002-11-18,4.511992142449696,5.33670811894291,0
2002-11-25,3.3724153135565964,5.226460835146199,0
2002-12-02,4.576783031468761,5.189997221879355,0
2002-12-09,3.9760991964557304,5.121866360868118,0
2002-12-16,2.911846293920487,4.997827465623432,0
2002-12-23,3.886271283417441,4.935440610904209,0
2002-12-30,4.912167163453768,4.934134372669786,0
2003-01-06,5.216397131448701,4.949976564010614,0
2003-01-13,4.067024588886491,4.900420277537716,0
2003-01-20,3.804544014107695,4.838913469036888,0
2003-01-27,3.5529063025779553,4.766735432923113,0
2003-02-03,4.646827270351515,4.760005504883708,0
2003-02-10,3.689221404674577,4.699907011289955,0
2003-02-17,3.5666649023465125,4.636303019027458,0
2003-02-24,3.4977145863961856,4.572398960673354,0
2003-03-03,4.205589908312583,4.551811550495029,0
2003-03-10,6.389085430425615,4.654929809798105,0
2003-03-17,6.974146109122897,4.785097418637528,0
2003-03-24,4.319363915865731,4.758957805687298,0
2003-03-31,4.650428745408119,4.752866537585119,0
2003-04-07,3.2437270467077006,4.668165046400424,0
2003-04-13,3.8978570332449824,4.624930979715276,0
2003-04-21,3.571233991127484,4.565791512005556,0
2003-04-28,2.776360089029136,4.465358443482029,0
2003-05-05,4.011131566949571,4.439864647838197,0
2003-05-12,4.1660817250255535,4.424498393119323,0
2003-05-19,5.756719354306175,4.49927021022579,0
